2013PN200084,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2013-08-08 12:40,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,73.8,,0.07,,0.81,,45.8,,0.02,,0.001,,25.9,,0.007,,0.289,,,,0.12,,0.102,,1.27,,0.023,,418,,0.143,,0.187,,5.9,,4.45,,0.534,,1.54,,0.004,L,0.001,,0.912,,0.11,,0.001,,185,,0.009,,0.005,,,,0.004,,0.336,,0.557,,0.238,,0.5,,546,,0.086,,1.51,,64.3,,0.069,,0.015,,22.8,,0.034,,3.49,,0.204,,0.95,,0.956,,3,,0.249,,2380,,1.52,,1.33,,6.92,,97.4,,0.536,,3.36,,0.02,L,0.001,,2.44,,0.13,,0.012,,185,,0.025,,0.012,,,,0.006,,0.429,,2.22,,1.57,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200085,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2013-08-08 12:45,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,66.8,,0.064,,0.75,,44.7,,0.013,,0.002,,23.3,,0.009,,0.291,,,,0.12,,0.109,,1.3,,0.022,,410,,0.145,,0.18,,5.81,,4.41,,0.555,,1.55,,0.006,L,0.001,,0.877,,0.13,,0.003,,176,,0.007,,0.02,,,,0.003,,0.333,,0.522,,0.238,,2.6,,558,,0.084,,1.42,,63.8,,0.066,,0.016,,23.8,,0.033,,3.45,,0.21,,0.97,,0.973,,2.97,,0.252,,2310,,1.47,,1.28,,6.91,,92.3,,0.5,,3.32,,0.026,L,0.001,,2.47,,0.13,,0.011,,181,,0.024,,0.015,,,,0.004,,0.418,,2.24,,1.52,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200086,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2013-08-08 12:50,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,113,,0.069,,0.77,,45.3,,0.017,,0.001,,24.3,,0.01,,0.303,,,,0.19,,0.113,,1.2,,0.03,,446,,0.147,,0.18,,5.93,,4.36,,0.547,,1.54,,0.009,L,0.001,,0.937,,0.11,,0.001,,179,,0.007,L,0.005,,,,0.006,,0.338,,0.613,,0.246,,0.5,,595,,0.084,,1.49,,65.1,,0.075,,0.016,,24.2,,0.039,,3.57,,0.204,,1.04,,1.04,,3,,0.261,,2550,,1.57,,1.35,,7.18,,100,,0.5,,3.47,,0.021,L,0.001,,2.51,,0.13,,0.009,,190,,0.024,,0.013,,,,0.003,,0.429,,2.42,,1.62,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200090,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2013-08-20 11:36,WATER,TRIPLICATE SAMPLE,3.9,,52.5,,0.072,,0.67,,51.3,,0.011,L,0.001,,21.6,,0.018,,0.162,,,,0.09,,0.11,,0.95,,0.018,,269,,0.079,,0.085,,5.53,,4.39,,0.708,,1.11,,0.004,L,0.001,,0.908,,0.16,,0.002,,220,,0.006,L,0.005,,,L,0.001,,0.382,,0.422,,0.145,,0.5,,317,,0.072,,0.98,,61.7,,0.039,,0.008,,19.4,,0.032,,1.58,,0.108,,0.52,,0.54,,1.58,,0.13,,1210,,0.699,,0.66,,5.91,,66.3,,0.662,,2.04,,0.016,L,0.001,,1.68,,0.14,,0.007,,215,,0.018,,0.007,,,,0.002,,0.406,,1.14,,0.755,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200091,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2013-08-20 11:41,WATER,TRIPLICATE SAMPLE,3.9,,39.4,,0.066,,0.64,,50.4,,0.01,L,0.001,,17.9,,0.015,,0.147,,,,0.08,,0.111,,0.92,,0.018,,246,,0.075,,0.081,,5.39,,4.16,,0.702,,1.11,,0.004,L,0.001,,0.883,,0.15,,0.001,,208,,0.007,L,0.005,,,,0.008,,0.368,,0.368,,0.139,,0.5,,337,,0.07,,1.02,,61.2,,0.046,,0.009,,17.4,,0.032,,1.81,,0.119,,0.57,,0.625,,1.65,,0.144,,1300,,0.789,,0.738,,5.92,,72.9,,0.645,,2.28,,0.018,L,0.001,,1.75,,0.14,,0.007,,216,,0.019,,0.019,,,,0.004,,0.41,,1.26,,0.862,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200092,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2013-08-20 11:46,WATER,TRIPLICATE SAMPLE,3.9,,47.9,,0.059,,0.61,,49.9,,0.011,L,0.001,,19.6,,0.015,,0.14,,,,0.08,,0.114,,0.95,,0.018,,249,,0.076,,0.081,,5.51,,4.15,,0.698,,1.13,,0.005,L,0.001,,0.877,,0.14,,0.001,,211,,0.007,L,0.005,,,,0.001,,0.365,,0.388,,0.142,,0.4,,374,,0.071,,1.09,,64.1,,0.049,,0.009,,18.6,,0.037,,1.95,,0.124,,0.61,,0.641,,1.76,,0.155,,1390,,0.854,,0.813,,6.05,,73.7,,0.636,,2.33,,0.018,,0.001,,1.84,,0.14,,0.007,,221,,0.02,,0.011,,,,0.006,,0.423,,1.33,,0.91,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200093,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2013-08-20 13:13,WATER,VERTICAL INTEGRATED,2.1,,56.2,,0.054,,0.63,,45.1,,0.012,L,0.001,,20,,0.013,,0.166,,,,0.1,,0.101,,0.96,,0.019,,338,,0.099,,0.089,,5.84,,3.94,,0.617,,1.08,,0.007,L,0.001,,0.914,,0.12,,0.001,,192,,0.006,,0.01,,,L,0.001,,0.322,,0.421,,0.153,,0.4,,260,,0.063,,0.99,,54.8,,0.041,,0.006,,22.7,,0.027,,1.44,,0.092,,0.48,,0.479,,1.55,,0.109,,1140,,0.636,,0.602,,6.24,,62,,0.579,,1.85,,0.014,L,0.001,,1.57,,0.12,,0.006,,198,,0.014,,0.008,,,L,0.001,,0.362,,1.12,,0.689,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200094,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2013-08-20 13:34,WATER,VERTICAL INTEGRATED,2.1,,56.6,,0.056,,0.65,,45.4,,0.014,L,0.001,,22.6,,0.011,,0.171,,,,0.1,,0.103,,1.09,,0.021,,358,,0.091,,0.114,,6.02,,4.18,,0.616,,1.12,,0.008,L,0.001,,0.927,,0.12,,0.002,,198,,0.006,L,0.005,,,L,0.001,,0.323,,0.406,,0.165,,0.6,,293,,0.069,,1.01,,56,,0.04,,0.007,,23.1,,0.027,,1.52,,0.094,,0.51,,0.535,,1.74,,0.115,,1320,,0.671,,0.653,,6.38,,66.2,,0.574,,1.99,,0.017,L,0.001,,1.65,,0.14,,0.006,,206,,0.016,,0.009,,,,0.003,,0.365,,1.23,,0.717,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200095,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-08-20 13:45,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,45.9,,0.071,,0.58,,50.4,,0.014,L,0.001,,21.6,,0.013,,0.157,,,,0.08,,0.099,,1.26,,0.028,,289,,0.099,,0.089,,5.82,,3.52,,0.753,,1.21,,0.011,L,0.001,,0.981,,0.15,,0.002,,224,,0.007,,0.009,,,,0.003,,0.379,,0.4,,0.159,,0.7,,320,,0.07,,0.96,,60.3,,0.041,,0.009,,17.1,,0.03,,1.55,,0.107,,0.53,,0.542,,1.88,,0.126,,1190,,0.676,,0.65,,6.11,,68,,0.698,,2.09,,0.015,,0.001,,1.7,,0.14,,0.006,,220,,0.016,,0.023,,,,0.003,,0.398,,1.21,,0.738,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200096,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-08-20 13:50,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,51.1,,0.065,,0.6,,48.7,,0.013,L,0.001,,19.9,,0.011,,0.145,,,,0.09,,0.093,,1.04,,0.019,,264,,0.079,,0.085,,5.77,,3.34,,0.711,,1.12,,0.005,L,0.001,,0.914,,0.14,,0.002,,208,,0.006,L,0.005,,,L,0.001,,0.356,,0.389,,0.145,,0.8,,304,,0.07,,1.03,,60.5,,0.041,,0.009,,21.9,,0.03,,1.49,,0.097,,0.5,,0.505,,1.69,,0.121,,1190,,0.651,,0.63,,6.04,,64.7,,0.686,,2.03,,0.014,L,0.001,,1.63,,0.16,,0.007,,224,,0.016,,0.021,,,,0.005,,0.404,,1.12,,0.732,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200097,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-08-20 13:55,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,30.9,,0.063,,0.62,,48.9,,0.011,L,0.001,,20.2,,0.012,,0.137,,,,0.07,,0.101,,1.04,,0.014,,251,,0.07,,0.086,,5.69,,3.65,,0.708,,1.15,,0.002,L,0.001,,0.898,,0.14,,0.001,,213,,0.007,,0.008,,,L,0.001,,0.363,,0.355,,0.14,,0.6,,293,,0.069,,0.98,,59.7,,0.041,,0.009,,20.3,,0.034,,1.52,,0.099,,0.5,,0.523,,1.6,,0.125,,1160,,0.676,,0.642,,6.06,,62.2,,0.659,,2.03,,0.016,,0.001,,1.66,,0.16,,0.007,,218,,0.017,,0.015,,,,0.005,,0.401,,1.17,,0.732,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200103,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2013-08-21 11:27,WATER,VERTICAL INTEGRATED,3.1,,73.7,,0.068,,0.62,,51.7,,0.011,L,0.001,,18.7,,0.016,,0.142,,,,0.11,,0.114,,1.16,,0.018,,207,,0.073,,0.094,,5.45,,3.25,,0.785,,1.23,,0.006,L,0.001,,0.892,,0.16,,0.007,,220,,0.008,,0.08,,,,0.002,,0.382,,0.431,,0.143,,0.5,,420,,0.076,,1.03,,66.8,,0.049,,0.009,,17.2,,0.036,,1.74,,0.122,,0.66,,0.643,,2.22,,0.157,,1380,,0.758,,0.82,,6.09,,68.1,,0.709,,2.47,,0.016,L,0.001,,1.8,,0.17,,0.008,,236,,0.019,,0.037,,,,0.006,,0.427,,1.35,,0.852,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200104,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2013-08-21 12:42,WATER,VERTICAL INTEGRATED,4.8,,65.7,,0.06,,0.66,,46.4,,0.013,L,0.001,,21.5,,0.015,,0.188,,,,0.11,,0.114,,0.98,,0.021,,347,,0.096,,0.098,,5.46,,3.84,,0.619,,1.17,,0.007,L,0.001,,0.914,,0.13,,0.001,,197,,0.006,L,0.005,,,L,0.001,,0.327,,0.44,,0.161,,0.5,,513,,0.065,,1.05,,60.9,,0.053,,0.009,,22.3,,0.033,,1.85,,0.145,,0.8,,0.652,,1.79,,0.191,,1530,,0.822,,0.82,,6.31,,69,,0.532,,2.35,,0.026,L,0.001,,2.06,,0.13,,0.009,,200,,0.021,,0.017,,,L,0.001,,0.381,,1.55,,0.865,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200105,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2013-08-21 13:18,WATER,VERTICAL INTEGRATED,4.3,,68.2,,0.06,,0.67,,47,,0.015,L,0.001,,22.9,,0.014,,0.189,,,,0.12,,0.115,,0.91,,0.022,,367,,0.099,,0.104,,5.78,,4.18,,0.627,,1.13,,0.008,L,0.001,,0.957,,0.13,,0.002,,195,,0.006,,0.008,,,L,0.001,,0.328,,0.437,,0.168,,0.5,,378,,0.068,,1.1,,57.2,,0.045,,0.009,,22.2,,0.028,,1.63,,0.112,,0.62,,0.584,,1.65,,0.141,,1420,,0.724,,0.705,,6.2,,67.7,,0.564,,2.16,,0.017,L,0.001,,1.76,,0.13,,0.008,,207,,0.018,,0.017,,,,0.002,,0.364,,1.3,,0.765,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200106,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-08-21 13:30,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,66.8,,0.061,,0.64,,49.6,,0.014,L,0.001,,18.1,,0.013,,0.171,,,,0.1,,0.108,,0.98,,0.021,,283,,0.086,,0.096,,5.66,,3.64,,0.71,,1.17,,0.007,L,0.001,,0.909,,0.14,,0.001,,211,,0.006,,0.009,,,,0.001,,0.353,,0.415,,0.156,,0.6,,416,,0.076,,1.12,,62.7,,0.044,,0.01,,19.4,,0.033,,1.7,,0.121,,0.67,,0.635,,1.87,,0.152,,1400,,0.753,,0.784,,6.24,,71,,0.648,,2.36,,0.018,,0.001,,1.8,,0.14,,0.006,,223,,0.02,,0.025,,,,0.021,,0.402,,1.31,,0.821,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200107,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-08-21 13:40,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,58.3,,0.061,,0.59,,46.7,,0.013,L,0.001,,20.1,,0.013,,0.15,,,,0.09,,0.102,,0.98,,0.019,,269,,0.079,,0.093,,5.41,,3.38,,0.671,,1.06,,0.005,L,0.001,,0.849,,0.13,,0.001,,197,,0.006,L,0.005,,,,0.004,,0.334,,0.379,,0.145,,0.5,,392,,0.071,,1.09,,61.3,,0.047,,0.009,,18.1,,0.036,,1.67,,0.116,,0.64,,0.612,,1.95,,0.158,,1330,,0.737,,0.79,,6.13,,67.9,,0.624,,2.37,,0.015,,0.001,,1.77,,0.14,,0.008,,220,,0.017,,0.016,,,,0.006,,0.396,,1.33,,0.812,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200108,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-08-21 13:50,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,58.9,,0.068,,0.65,,49,,0.013,L,0.001,,20.6,,0.015,,0.167,,,,0.11,,0.118,,0.97,,0.02,,284,,0.083,,0.097,,5.65,,3.39,,0.701,,1.15,,0.005,L,0.001,,0.904,,0.14,,0.001,,213,,0.006,,0.005,,,,0.008,,0.352,,0.425,,0.154,,0.5,,412,,0.073,,1.1,,61.5,,0.047,,0.009,,20.7,,0.031,,1.71,,0.123,,0.65,,0.625,,1.84,,0.154,,1400,,0.768,,0.783,,6.01,,70.4,,0.637,,2.35,,0.016,,0.001,,1.78,,0.13,,0.008,,223,,0.02,,0.02,,,,0.004,,0.398,,1.41,,0.825,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200109,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2013-08-22 9:25,WATER,VERTICAL INTEGRATED,3,,68.6,,0.064,,0.67,,49.3,,0.012,L,0.001,,19.6,,0.012,,0.173,,,,0.12,,0.115,,0.96,,0.024,,297,,0.08,,0.097,,5.6,,3.75,,0.703,,1.18,,0.005,L,0.001,,0.926,,0.16,,0.001,,217,,0.007,L,0.005,,,,0.001,,0.366,,0.43,,0.151,,0.6,,466,,0.08,,1.15,,64.4,,0.058,,0.009,,19.5,,0.037,,2.11,,0.136,,0.75,,0.705,,1.97,,0.179,,1500,,0.961,,0.928,,6.39,,76.3,,0.6,,2.52,,0.02,,0.001,,1.98,,0.14,,0.009,,225,,0.019,,0.01,,,,0.04,,0.411,,1.49,,1,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200110,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2013-09-17 11:57,WATER,VERTICAL INTEGRATED,2.6,,19.9,,0.059,,0.55,,51.2,,0.007,L,0.001,,21.8,,0.009,,0.064,,,,0.07,,0.062,,0.6,,0.01,,158,,0.039,,0.044,,5.88,,2.87,,0.67,,0.8,,0.002,L,0.001,,0.897,,0.12,L,0.001,,225,,0.01,L,0.005,,,,0.003,,0.364,,0.309,,0.067,,0.2,,93.5,,0.058,,0.69,,56,,0.009,,0.004,,22.1,,0.016,,0.505,,0.035,,0.17,,0.214,,0.87,,0.049,,497,,0.22,,0.231,,5.97,,39.2,,0.66,,1.19,,0.007,L,0.001,,1.13,,0.33,,0.004,,232,,0.009,,0.014,,,,0.003,,0.381,,0.551,,0.256,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200111,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2013-09-17 13:22,WATER,VERTICAL INTEGRATED,0.7,,21.9,,0.06,,0.52,,51.1,,0.006,L,0.001,,20.1,,0.007,,0.068,,,,0.07,,0.057,,0.58,,0.011,,186,,0.038,,0.052,,5.66,,3.17,,0.625,,0.78,L,0.001,L,0.001,,0.922,,0.12,,0.001,,218,,0.013,L,0.005,,,,0.009,,0.363,,0.305,,0.069,,0.2,,113,,0.062,,0.69,,55.3,,0.018,,0.005,,20.7,,0.018,,0.659,,0.036,,0.22,,0.263,,0.94,,0.061,,610,,0.296,,0.297,,6.17,,44.1,,0.627,,1.2,,0.007,L,0.001,,1.17,,0.34,,0.005,,225,,0.014,,0.014,,,,0.002,,0.371,,0.616,,0.329,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200112,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2013-09-17 13:46,WATER,VERTICAL INTEGRATED,0.7,,23.5,,0.052,,0.55,,50.3,,0.007,L,0.001,,22.2,,0.006,,0.079,,,,0.06,,0.059,,0.65,,0.011,,187,,0.039,,0.049,,5.76,,3.36,,0.644,,0.77,,0.002,L,0.001,,0.905,,0.11,,0.001,,218,,0.011,,0.005,,,,0.003,,0.365,,0.303,,0.07,,0.3,,98.8,,0.058,,0.66,,53.7,,0.018,,0.003,,22.3,,0.014,,0.585,,0.037,,0.19,,0.242,,0.96,,0.049,,553,,0.259,,0.246,,6.24,,43.1,,0.644,,1.23,,0.006,,0.001,,1.17,,0.26,,0.005,,222,,0.012,,0.01,,,,0.009,,0.35,,0.628,,0.29,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200113,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-09-17 14:00,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,25.2,,0.052,,0.5,,49.9,,0.006,,0.001,,21.1,,0.005,,0.059,,,,0.07,,0.057,,0.63,,0.011,,157,,0.038,,0.043,,5.61,,2.63,,0.643,,0.82,,0.002,L,0.001,,0.885,,0.11,,0.001,,221,,0.01,L,0.005,,,,0.004,,0.363,,0.29,,0.065,,0.3,,93,,0.06,,0.63,,55.5,,0.012,,0.004,,20.1,,0.02,,0.526,,0.035,,0.18,,0.218,,0.9,,0.047,,510,,0.236,,0.244,,6.07,,38.5,,0.657,,1.21,,0.008,L,0.001,,1.12,,0.18,,0.004,,223,,0.016,,0.009,,,,0.002,,0.378,,0.579,,0.268,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200114,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-09-17 14:05,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,25,,0.062,,0.51,,51,,0.006,L,0.001,,21,,0.008,,0.063,,,,0.07,,0.056,,0.86,,0.011,,161,,0.039,,0.058,,5.7,,2.77,,0.658,,0.84,,0.002,L,0.001,,0.913,,0.12,,0.001,,228,,0.011,,0.005,,,,0.003,,0.38,,0.328,,0.066,,0.4,,93.3,,0.054,,0.67,,54.6,,0.014,,0.003,,22.6,,0.013,,0.485,,0.033,,0.18,,0.221,,1.28,,0.048,,488,,0.22,,0.24,,6.09,,37.9,,0.669,,1.21,,0.005,L,0.001,,1.13,,0.35,,0.004,,229,,0.012,,0.012,,,,0.006,,0.373,,0.558,,0.251,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200115,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-09-17 14:10,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,28.6,,0.062,,0.58,,53.4,,0.006,L,0.001,,20.2,,0.007,,0.075,,,,0.07,,0.056,,0.71,,0.01,,183,,0.043,,0.053,,5.76,,3.14,,0.668,,0.84,,0.002,L,0.001,,0.915,,0.12,,0.001,,236,,0.013,,0.032,,,,0.002,,0.389,,0.327,,0.069,,0.3,,105,,0.066,,0.69,,56.5,,0.015,,0.003,,23,,0.017,,0.564,,0.037,,0.2,,0.239,,0.98,,0.05,,527,,0.249,,0.255,,6.21,,40.5,,0.693,,1.25,,0.004,L,0.001,,1.16,,0.21,,0.003,,230,,0.016,,0.027,,,,0.007,,0.378,,0.604,,0.276,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200116,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2013-09-18 11:16,WATER,VERTICAL INTEGRATED,2.1,,23.8,,0.059,,0.52,,51.1,,0.007,L,0.001,,21.4,,0.007,,0.056,,,,0.06,,0.049,,0.86,,0.011,,143,,0.033,,0.058,,5.56,,2.36,,0.698,,0.83,,0.003,L,0.001,,0.845,,0.12,L,0.001,,227,,0.01,L,0.005,,,,0.005,,0.361,,0.284,,0.059,,0.2,,98.9,,0.065,,0.67,,55.8,,0.015,,0.004,,21.4,,0.018,,0.504,,0.033,,0.18,,0.226,,1.18,,0.051,,490,,0.226,,0.256,,5.92,,40.6,,0.745,,1.26,,0.008,L,0.001,,1.1,,0.23,,0.003,,236,,0.011,,0.009,,,,0.002,,0.389,,0.551,,0.259,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200117,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2013-09-18 12:55,WATER,VERTICAL INTEGRATED,2.5,,25.1,,0.059,,0.51,,49.7,,0.007,L,0.001,,21.1,,0.007,,0.059,,,,0.07,,0.05,,0.64,,0.011,,173,,0.036,,0.049,,5.76,,2.58,,0.647,,0.78,,0.002,L,0.001,,0.848,,0.11,L,0.001,,220,,0.013,,0.007,,,,0.002,,0.351,,0.272,,0.066,,0.2,,88.3,,0.057,,0.66,,53.2,,0.013,,0.003,,21.6,,0.011,,0.496,,0.032,,0.18,,0.216,,0.92,,0.049,,499,,0.216,,0.228,,6.03,,38.8,,0.684,,1.12,,0.005,L,0.001,,1.07,,0.25,,0.004,,227,,0.014,,0.012,,,,0.006,,0.35,,0.523,,0.246,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013PN200118,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2013-09-18 13:32,WATER,VERTICAL INTEGRATED,4.2,,21.4,,0.052,,0.54,,49.9,,0.007,L,0.001,,23.5,,0.009,,0.062,,,,0.06,,0.046,,1,,0.01,,190,,0.036,,0.056,,5.73,,2.8,,0.635,,0.81,L,0.001,L,0.001,,0.86,,0.12,L,0.001,,223,,0.013,L,0.005,,,,0.001,,0.351,,0.279,,0.069,,0.2,,84.9,,0.058,,0.66,,53.3,,0.014,,0.004,,24.9,,0.016,,0.448,,0.029,,0.17,,0.204,,1.27,,0.048,,488,,0.205,,0.223,,6.07,,39.3,,0.606,,1.14,,0.003,L,0.001,,1.08,,0.27,,0.004,,226,,0.007,,0.013,,,,0.004,,0.353,,0.586,,0.224,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
