2012PN200268,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M7, BELOW ELLS RIVER",AL07DD0007,57.31373,-111.67183,2012-10-11 17:33,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200271,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2012-10-24 11:43,WATER,VERTICAL INTEGRATED,2.38,,2.25,,0.07,,,,,,
2012PN200272,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2012-10-24 12:31,WATER,VERTICAL INTEGRATED,1.02,,2.05,,0.07,,,,,,
2012PN200273,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2012-10-24 12:51,WATER,VERTICAL INTEGRATED,2.65,,1.89,,0.08,,,,,,
2012PN200274,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-10-24 13:16,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200275,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-10-24 13:18,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200276,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2012-10-24 13:19,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2012PN200281,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2013-01-22 11:35,WATER,VERTICAL INTEGRATED,0.56,,0.65,L,0.03,,,,,,
2012PN200282,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2013-01-22 14:53,WATER,VERTICAL INTEGRATED,0.63,,0.83,L,0.03,,,,,,
2012PN200283,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2013-01-22 15:35,WATER,VERTICAL INTEGRATED,4.36,,0.81,L,0.03,,,,,,
2012PN200284,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-01-22 18:05,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200285,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-01-22 18:07,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200286,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-01-22 18:09,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200287,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2013-01-23 11:56,WATER,TRIPLICATE SAMPLE,1.59,,0.96,L,0.03,,,,,,
2012PN200288,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2013-01-23 14:15,WATER,VERTICAL INTEGRATED,0.69,,0.78,L,0.03,,,,,,
2012PN200289,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2013-01-23 14:30,WATER,VERTICAL INTEGRATED,1.57,,0.98,,,,,,,,
2012PN200290,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-01-23 17:10,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200291,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-01-23 17:15,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200292,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-01-23 17:20,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200293,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2013-01-23 12:01,WATER,TRIPLICATE SAMPLE,,,0.76,L,0.03,,,,,,
2012PN200294,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2013-01-23 12:06,WATER,TRIPLICATE SAMPLE,,,0.82,,0.04,,,,,,
2012PN200299,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2013-02-12 12:00,WATER,VERTICAL INTEGRATED,3.3,,0.72,L,0.03,,,,,,
2012PN200300,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2013-02-12 13:45,WATER,VERTICAL INTEGRATED,0.5,,0.77,L,0.03,,,,,,
2012PN200301,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2013-02-12 14:10,WATER,VERTICAL INTEGRATED,4.25,,0.71,,0.04,,,,,,
2012PN200302,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-02-12 18:10,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200303,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-02-12 18:15,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200304,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-02-12 18:20,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200305,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2013-02-13 12:30,WATER,VERTICAL INTEGRATED,1.73,,0.72,,0.04,,,,,,
2012PN200306,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2013-02-13 13:25,WATER,VERTICAL INTEGRATED,0.63,,0.7,L,0.03,,,,,,
2012PN200307,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2013-02-13 13:45,WATER,VERTICAL INTEGRATED,1.39,,0.78,,0.04,,,,,,
2012PN200308,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-02-13 14:00,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200309,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-02-13 14:05,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200310,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-02-13 14:10,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200311,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2013-02-06 10:35,WATER,VERTICAL INTEGRATED,2.05,,,,,,,,,,
2012PN200312,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2013-02-06 11:30,WATER,VERTICAL INTEGRATED,1.54,,0.73,L,0.03,,,,,,
2012PN200313,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2013-02-06 12:10,WATER,VERTICAL INTEGRATED,0.79,,,,,,,,,,
2012PN200314,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2013-02-06 12:23,WATER,VERTICAL INTEGRATED,0.95,,,,,,,,,,
2012PN200315,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2013-02-06 12:37,WATER,VERTICAL INTEGRATED,0.99,,,,,,,,,,
2012PN200316,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2013-02-06 13:05,WATER,VERTICAL INTEGRATED,0.49,,0.68,L,0.03,,,,,,
2012PN200317,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 7 OF 10,AL07DD0008,56.83919,-111.41404,2013-02-06 13:15,WATER,VERTICAL INTEGRATED,1.47,,,,,,,,,,
2012PN200318,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 8 OF 10,AL07DD0008,56.83888,-111.41328,2013-02-06 13:30,WATER,VERTICAL INTEGRATED,1.81,,,,,,,,,,
2012PN200319,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2013-02-06 13:45,WATER,VERTICAL INTEGRATED,1.87,,0.83,,0.04,,,,,,
2012PN200320,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2013-02-06 14:15,WATER,VERTICAL INTEGRATED,1.62,,,,,,,,,,
2012PN200321,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2013-02-06 16:30,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200322,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2013-02-06 16:35,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200323,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2013-02-06 16:40,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200324,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2013-03-05 11:10,WATER,VERTICAL INTEGRATED,2.09,,0.68,L,0.03,,,,,,
2012PN200325,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 2 OF 10,AL07DD0009,57.2151,-111.61433,2013-03-05 12:26,WATER,VERTICAL INTEGRATED,1.74,,,,,,,,,,
2012PN200326,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 3 OF 10,AL07DD0009,57.21512,-111.61345,2013-03-05 13:00,WATER,VERTICAL INTEGRATED,1.17,,,,,,,,,,
2012PN200327,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 4 OF 10,AL07DD0009,57.21516,-111.61577,2013-03-05 13:25,WATER,VERTICAL INTEGRATED,0.78,,,,,,,,,,
2012PN200328,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.6115,2013-03-05 13:50,WATER,TRIPLICATE SAMPLE,0.62,,0.71,L,0.03,,,,,,
2012PN200329,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 6 OF 10,AL07DD0009,57.21502,-111.61068,2013-03-05 15:00,WATER,VERTICAL INTEGRATED,0.95,,,,,,,,,,
2012PN200330,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 7 OF 10,AL07DD0009,57.2152,-111.6098,2013-03-05 15:15,WATER,VERTICAL INTEGRATED,1.07,,,,,,,,,,
2012PN200331,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 8 OF 10,AL07DD0009,57.2153,-111.60903,2013-03-05 15:30,WATER,VERTICAL INTEGRATED,1.21,,,,,,,,,,
2012PN200332,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 9 OF 10,AL07DD0009,57.21523,-111.60808,2013-03-05 15:50,WATER,VERTICAL INTEGRATED,1.76,,0.72,L,0.03,,,,,,
2012PN200333,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 10 OF 10,AL07DD0009,57.21518,-111.60727,2013-03-05 16:15,WATER,VERTICAL INTEGRATED,1.46,,,,,,,,,,
2012PN200334,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2013-03-05 18:00,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200335,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2013-03-05 18:05,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200336,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2013-03-05 18:10,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200337,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.6115,2013-03-05 13:55,WATER,TRIPLICATE SAMPLE,1.32,,0.72,,0.05,,,,,,
2012PN200338,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.6115,2013-03-05 14:00,WATER,TRIPLICATE SAMPLE,1.32,,0.67,,0.04,,,,,,
2012PN200343,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2013-03-06 12:30,WATER,VERTICAL INTEGRATED,2.5,,0.69,L,0.03,,,,,,
2012PN200356,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2013-03-12 10:45,WATER,VERTICAL INTEGRATED,0.61,,,,,,,,,,
2012PN200357,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2013-03-12 10:56,WATER,VERTICAL INTEGRATED,1.75,,,,,,,,,,
2012PN200358,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2013-03-12 11:30,WATER,VERTICAL INTEGRATED,3.34,,0.78,,0.04,,,,,,
2012PN200359,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2013-03-12 12:15,WATER,VERTICAL INTEGRATED,1.4,,,,,,,,,,
2012PN200360,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2013-03-12 12:40,WATER,VERTICAL INTEGRATED,0.81,,,,,,,,,,
2012PN200361,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 6 OF 10,AL07DD0004,57.12708333,-111.6020556,2013-03-12 12:50,WATER,VERTICAL INTEGRATED,0.14,,,,,,,,,,
2012PN200362,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2013-03-12 13:05,WATER,VERTICAL INTEGRATED,0.06,,,,,,,,,,
2012PN200363,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 8 OF 10,AL07DD0004,57.12733333,-111.6010556,2013-03-12 13:18,WATER,VERTICAL INTEGRATED,0.08,,,,,,,,,,
2012PN200364,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2013-03-12 14:05,WATER,VERTICAL INTEGRATED,0.52,,0.7,L,0.04,,,,,,
2012PN200365,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2013-03-12 14:42,WATER,VERTICAL INTEGRATED,4.15,,0.69,,0.04,,,,,,
2012PN200366,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-03-12 15:00,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200367,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-03-12 15:05,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200368,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-03-12 15:10,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200369,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 1 OF 10,AL07DD0005,57.15605556,-111.63,2013-03-13 10:55,WATER,VERTICAL INTEGRATED,1.85,,,,,,,,,,
2012PN200370,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 2 OF 10,AL07DD0005,57.15633333,-111.6294167,2013-03-13 11:10,WATER,VERTICAL INTEGRATED,1.47,,,,,,,,,,
2012PN200371,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 3 OF 10,AL07DD0005,57.15655556,-111.6286944,2013-03-13 11:25,WATER,VERTICAL INTEGRATED,1.32,,,,,,,,,,
2012PN200372,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 4 OF 10,AL07DD0005,57.15669444,-111.62825,2013-03-13 11:40,WATER,VERTICAL INTEGRATED,1.61,,,,,,,,,,
2012PN200373,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2013-03-13 12:40,WATER,VERTICAL INTEGRATED,1.71,,0.75,,0.12,,,,,,
2012PN200374,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 6 OF 10,AL07DD0005,57.15683333,-111.6265278,2013-03-13 13:00,WATER,VERTICAL INTEGRATED,1.32,,,,,,,,,,
2012PN200375,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 7 OF 10,AL07DD0005,57.15686111,-111.6257222,2013-03-13 13:15,WATER,VERTICAL INTEGRATED,1.46,,,,,,,,,,
2012PN200376,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 8 OF 10,AL07DD0005,57.15705556,-111.6250278,2013-03-13 13:35,WATER,VERTICAL INTEGRATED,0.98,,,,,,,,,,
2012PN200377,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2013-03-13 13:50,WATER,VERTICAL INTEGRATED,0.75,,0.67,,0.04,,,,,,
2012PN200378,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2013-03-13 14:38,WATER,VERTICAL INTEGRATED,1.21,,0.73,,0.04,,,,,,
2012PN200379,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-03-13 15:00,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200380,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-03-13 15:05,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2012PN200381,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-03-13 15:10,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,,,,,,,,,
2013PN200001,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2013-05-22 14:07,WATER,VERTICAL INTEGRATED,1.7,,20.8,,0.3,,,,,,
2013PN200002,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2013-05-22 15:42,WATER,VERTICAL INTEGRATED,3.5,,19.4,,0.23,,,,,,
2013PN200003,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2013-05-22 16:57,WATER,VERTICAL INTEGRATED,3.5,,14.5,,0.17,,,,,,
2013PN200004,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2013-05-22 18:30,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2013PN200005,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2013-05-22 18:35,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2013PN200006,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2013-05-22 18:40,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2013PN200007,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2013-06-24 13:47,WATER,VERTICAL INTEGRATED,4.1,,18.2,,0.22,,,,,,
2013PN200008,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2013-06-24 15:32,WATER,VERTICAL INTEGRATED,8.78,,15.1,,0.24,,,,,,
2013PN200009,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2013-06-24 16:04,WATER,VERTICAL INTEGRATED,5.8,,15.9,,0.27,,,,,,
2013PN200010,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-06-24 16:15,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2013PN200011,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-06-24 16:20,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2013PN200012,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-06-24 16:25,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2013PN200013,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 5 OF 10,AL07DD0005,57.15680556,-111.6275,2013-06-25 13:57,WATER,VERTICAL INTEGRATED,6.4,,31.6,,0.29,,,,,,
2013PN200014,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 9 OF 10,AL07DD0005,57.15747222,-111.6246944,2013-06-25 15:00,WATER,VERTICAL INTEGRATED,5,,23.2,,0.3,,,,,,
2013PN200015,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 10 OF 10,AL07DD0005,57.15758333,-111.6239444,2013-06-25 15:38,WATER,VERTICAL INTEGRATED,5.4,,24.4,,0.33,,,,,,
2013PN200016,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-06-25 15:50,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2013PN200017,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-06-25 15:55,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2013PN200018,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M5 ABOVE MACKAY RIVER,AL07DD0005,57.15680556,-111.6270528,2013-06-25 16:00,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2013PN200019,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2013-06-26 11:05,WATER,TRIPLICATE SAMPLE,6,,33.2,,0.44,,,,,,
2013PN200020,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2013-06-26 11:10,WATER,TRIPLICATE SAMPLE,6,,31.1,,0.54,,,,,,
2013PN200021,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2013-06-26 11:15,WATER,TRIPLICATE SAMPLE,6,,31.4,,0.6,,,,,,
2013PN200022,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 6 OF 10,AL07DD0009,57.21502,-111.61068,2013-06-26 13:32,WATER,VERTICAL INTEGRATED,5.1,,37.5,,0.38,,,,,,
2013PN200023,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 9 OF 10,AL07DD0009,57.21523,-111.60808,2013-06-26 14:21,WATER,VERTICAL INTEGRATED,4.6,,34,,0.42,,,,,,
2013PN200024,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2013-06-26 14:47,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2013PN200025,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2013-06-26 14:52,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2013PN200026,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2013-06-26 14:57,WATER,ISOKINETIC TRANSECT COMPOSITE - EWI,,,,,,,,,,,
2013PN200031,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2013-06-27 11:34,WATER,VERTICAL INTEGRATED,6.8,,27.1,,0.5,,,,,,
