2012PN200316,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 6 OF 10,AL07DD0008,56.83862,-111.41478,2013-02-06 13:05,WATER,VERTICAL INTEGRATED,0.49,,0,,7.345,,0.531,,0.009,,,,,,,,0.054,,7.1,,,,0.206,,,,0.512,,,,0.032,,0.023,L,10,L,5,,0.245,,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200317,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 7 OF 10,AL07DD0008,56.83919,-111.41404,2013-02-06 13:15,WATER,VERTICAL INTEGRATED,1.47,,0,,7.544,,0.517,,0.012,,,,,,,,0.056,,7.3,,,,0.201,,,,0.494,,,,0.038,,0.026,L,10,L,5,,0.244,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200318,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 8 OF 10,AL07DD0008,56.83888,-111.41328,2013-02-06 13:30,WATER,VERTICAL INTEGRATED,1.81,,0,,7.745,,0.544,,0.018,,,,,,,,0.057,,7.4,,,,0.197,,,,0.524,,,,0.045,,0.027,L,10,,5.6,,0.345,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200319,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2013-02-06 13:45,WATER,VERTICAL INTEGRATED,1.87,,0,,8.098,,0.552,,0.028,,,,,,,,0.059,,7.7,,,,0.189,,,,0.512,,,,0.051,,0.023,L,10,L,5,,0.398,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200320,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2013-02-06 14:15,WATER,VERTICAL INTEGRATED,1.62,,0,,11.98,,0.816,,0.165,,,,,,,,0.063,,7.9,,,,0.189,,,,0.508,,,,0.193,,0.028,,99,,112,,4.08,,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200321,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2013-02-06 16:30,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,0.003,,8.81,,0.608,,0.04,,,,,,,,0.062,,7.8,,,,0.216,,,,0.526,,,,0.065,,0.025,,17,,21,,1.01,,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200322,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2013-02-06 16:35,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,0.003,,8.609,,0.599,,0.038,,,,,,,,0.062,,7.7,,,,0.213,,,,0.523,,,,0.062,,0.024,,18,,21,,0.909,,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200323,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M3, 6.5 KM BELOW WSC GAUGE 07DA001",AL07DD0008,56.8388,-111.41548,2013-02-06 16:40,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,0.003,,8.78,,0.569,,0.033,,,,,,,,0.061,,8,,,,0.214,,,,0.509,,,,0.057,,0.024,,14,,18,,0.78,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200324,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 1 OF 10,AL07DD0009,57.21513,-111.61512,2013-03-05 11:10,WATER,VERTICAL INTEGRATED,2.09,,0,,8.132,,0.71,,0.013,,,,,,,,0.031,,7.7,,,,0.279,,,,0.687,,,,0.038,,0.025,L,10,L,5,,0.432,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200325,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 2 OF 10,AL07DD0009,57.2151,-111.61433,2013-03-05 12:26,WATER,VERTICAL INTEGRATED,1.74,,0,,8.092,,0.563,,0.013,,,,,,,,0.03,,7.8,,,,0.265,,,,0.542,,,,0.038,,0.025,L,10,L,5,,0.292,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200326,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 3 OF 10,AL07DD0009,57.21512,-111.61345,2013-03-05 13:00,WATER,VERTICAL INTEGRATED,1.17,,0,,8.194,,0.558,,0.014,,,,,,,,0.028,,7.9,,,,0.255,,,,0.535,,,,0.039,,0.025,L,10,L,5,,0.294,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200327,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 4 OF 10,AL07DD0009,57.21516,-111.61577,2013-03-05 13:25,WATER,VERTICAL INTEGRATED,0.78,,0,,8.425,,0.597,,0.014,,,,,,,,0.027,,8.1,,,,0.25,,,,0.577,,,,0.039,,0.025,L,10,L,5,,0.325,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200328,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.6115,2013-03-05 13:50,WATER,TRIPLICATE SAMPLE,0.62,,0,,8.107,,0.601,,0.015,,,,,,,,0.028,,7.7,,,,0.244,,,,0.58,,,,0.039,,0.024,L,10,L,5,,0.407,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200329,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 6 OF 10,AL07DD0009,57.21502,-111.61068,2013-03-05 15:00,WATER,VERTICAL INTEGRATED,0.95,,0,,8.11,,0.556,,0.014,,,,,,,,0.026,,7.8,,,,0.234,,,,0.523,,,,0.039,,0.025,L,10,L,5,,0.31,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200330,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 7 OF 10,AL07DD0009,57.2152,-111.6098,2013-03-05 15:15,WATER,VERTICAL INTEGRATED,1.07,,0,,8.16,,0.572,,0.015,,,,,,,,0.024,,7.8,,,,0.229,,,,0.534,,,,0.04,,0.025,L,10,L,5,,0.36,,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200331,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 8 OF 10,AL07DD0009,57.2153,-111.60903,2013-03-05 15:30,WATER,VERTICAL INTEGRATED,1.21,,0.001,,8.103,,0.625,,0.014,,,,,,,,0.029,,7.8,,,,0.226,,,,0.609,,,,0.039,,0.025,L,10,L,5,,0.303,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200332,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 9 OF 10,AL07DD0009,57.21523,-111.60808,2013-03-05 15:50,WATER,VERTICAL INTEGRATED,1.76,,0,,7.998,,0.537,,0.016,,,,,,,,0.03,,7.7,,,,0.224,,,,0.525,,,,0.04,,0.024,L,10,L,5,,0.298,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200333,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 10 OF 10,AL07DD0009,57.21518,-111.60727,2013-03-05 16:15,WATER,VERTICAL INTEGRATED,1.46,,0,,8.23,,0.557,,0.016,,,,,,,,0.031,,7.9,,,,0.218,,,,0.538,,,,0.041,,0.025,L,10,L,5,,0.33,,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200334,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2013-03-05 18:00,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,PM,,8.184,,0.542,,0.014,,,,,,,,0.026,,7.9,,,,0.235,,,,0.527,,,,0.038,,0.024,L,10,L,5,,0.284,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200335,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2013-03-05 18:05,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,PM,,7.911,,0.548,,0.015,,,,,,,,0.026,,7.6,,,,0.233,,,,0.532,,,,0.039,,0.024,L,10,L,5,,0.311,,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200336,OIL SANDS LONGTERM WQ MONITORING,"ATHABASCA RIVER M6, BELOW MACKAY RIVER",AL07DD0009,57.21505,-111.6115,2013-03-05 18:10,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,PM,,8.21,,0.549,,0.015,,,,,,,,0.027,,7.9,,,,0.232,,,,0.532,,,,0.039,,0.024,L,10,L,5,,0.31,,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200337,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.6115,2013-03-05 13:55,WATER,TRIPLICATE SAMPLE,1.32,,PM,,8.419,,0.601,,0.014,,,,,,,,0.027,,7.8,,,,0.241,,,,0.545,,,,0.039,,0.025,L,10,L,5,,0.619,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200338,OIL SANDS LONGTERM WQ MONITORING,M6 LTWQ PANEL 5 OF 10,AL07DD0009,57.21505,-111.6115,2013-03-05 14:00,WATER,TRIPLICATE SAMPLE,1.32,,PM,,8.015,,0.547,,0.015,,,,,,,,0.026,,7.7,,,,0.239,,,,0.528,,,,0.039,,0.024,L,10,L,5,,0.315,,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200343,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2013-03-06 12:30,WATER,VERTICAL INTEGRATED,2.5,,0,,7.955,,0.561,,0.012,,,,,,,,0.034,,7.7,,,,0.278,,,,0.544,,,,0.036,,0.024,L,10,L,5,,0.255,,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200356,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 1 OF 10,AL07DD0004,57.12622222,-111.6040278,2013-03-12 10:45,WATER,VERTICAL INTEGRATED,0.61,,0,,8.192,,0.666,,0.012,,,,,,,,0.041,,7.9,,,,0.302,,,,0.645,,,,0.039,,0.027,L,10,L,5,,0.292,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200357,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 2 OF 10,AL07DD0004,57.12633333,-111.6036111,2013-03-12 10:56,WATER,VERTICAL INTEGRATED,1.75,,0,,8.325,,0.607,,0.012,,,,,,,,0.048,,8,,,,0.295,,,,0.585,,,,0.039,,0.027,L,10,L,5,,0.325,,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200358,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 3 OF 10,AL07DD0004,57.12669444,-111.6035278,2013-03-12 11:30,WATER,VERTICAL INTEGRATED,3.34,,0,,8.309,,0.543,,0.015,,,,,,,,0.024,,8,,,,0.249,,,,0.519,,,,0.041,,0.026,L,10,L,5,,0.309,,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200359,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 4 OF 10,AL07DD0004,57.12694444,-111.6030833,2013-03-12 12:15,WATER,VERTICAL INTEGRATED,1.4,,0,,8.011,,0.54,,0.017,,,,,,,,0.026,,7.7,,,,0.226,,,,0.514,,,,0.044,,0.027,L,10,L,5,,0.311,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200360,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 5 OF 10,AL07DD0004,57.12697222,-111.6024167,2013-03-12 12:40,WATER,VERTICAL INTEGRATED,0.81,,0,,8.115,,0.548,,0.017,,,,,,,,0.024,,7.7,,,,0.224,,,,0.522,,,,0.045,,0.028,L,10,L,5,,0.415,,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200361,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 6 OF 10,AL07DD0004,57.12708333,-111.6020556,2013-03-12 12:50,WATER,VERTICAL INTEGRATED,0.14,,0,,8.079,,0.568,,0.019,,,,,,,,0.04,,7.7,,,,0.22,,,,0.532,,,,0.047,,0.028,L,10,L,5,,0.379,,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200362,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 7 OF 10,AL07DD0004,57.12725,-111.6014722,2013-03-12 13:05,WATER,VERTICAL INTEGRATED,0.06,,0,,8.557,,0.587,,0.038,,,,,,,,0.026,,7.8,,,,0.227,,,,0.517,,,,0.066,,0.028,,14,,16,,0.757,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200363,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 8 OF 10,AL07DD0004,57.12733333,-111.6010556,2013-03-12 13:18,WATER,VERTICAL INTEGRATED,0.08,,0,,7.898,,0.566,,0.016,,,,,,,,0.026,,7.6,,,,0.22,,,,0.53,,,,0.044,,0.028,L,10,L,5,,0.298,,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200364,OIL SANDS LONGTERM WQ MONITORING,M4 LTWQ PANEL 9 OF 10,AL07DD0004,57.12761111,-111.6001389,2013-03-12 14:05,WATER,VERTICAL INTEGRATED,0.52,,0,,7.84,,0.552,,0.016,,,,,,,,0.026,,7.5,,,,0.218,,,,0.521,,,,0.045,,0.029,L,10,L,5,,0.34,,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200365,OIL SANDS LONGTERM WQ MONITORING,M4 LT WQ PANEL 10 OF 10,AL07DD0004,57.12763889,-111.6000278,2013-03-12 14:42,WATER,VERTICAL INTEGRATED,4.15,,0,,7.971,,0.535,,0.016,,,,,,,,0.027,,7.7,,,,0.217,,,,0.511,,,,0.045,,0.029,L,10,L,5,,0.271,,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200366,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-03-12 15:00,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,PM,,8.344,,0.584,,0.029,,,,,,,,0.025,,7.7,,,,0.229,,,,0.528,,,,0.055,,0.026,,10,,12,,0.644,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200367,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-03-12 15:05,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,PM,,8.386,,0.581,,0.025,,,,,,,,0.033,,7.9,,,,0.236,,,,0.542,,,,0.051,,0.026,L,10,,9,,0.486,,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200368,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M4 ABOVE MUSKEG RIVER,AL07DD0004,57.12697222,-111.6024167,2013-03-12 15:10,WATER,EQUAL VOLUME TRANSECT COMPOSITE,,,PM,,8.003,,0.564,,0.021,,,,,,,,0.027,,7.5,,,,0.232,,,,0.529,,,,0.047,,0.026,L,10,,7.3,,0.503,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200369,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 1 OF 10,AL07DD0005,57.15605556,-111.63,2013-03-13 10:55,WATER,VERTICAL INTEGRATED,1.85,,0,,7.691,,0.618,,0.01,,,,,,,,0.031,,7.4,,,,0.283,,,,0.583,,,,0.035,,0.025,L,10,L,5,,0.291,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012PN200370,OIL SANDS LONGTERM WQ MONITORING,M5 LTWQ PANEL 2 OF 10,AL07DD0005,57.15633333,-111.6294167,2013-03-13 11:10,WATER,VERTICAL INTEGRATED,1.47,,0,,7.793,,0.559,,0.013,,,,,,,,0.025,,7.5,,,,0.258,,,,0.526,,,,0.037,,0.024,L,10,L,5,,0.293,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
